_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
22810(A),PC,UNLAWFL POSS/USE TEAR GAS,M,2012-01-01,,22810,(A),(A),,,,22810(A)
22810(B),PC,NARC ADCT POS/ETC TEARGAS,M,2012-01-01,,22810,(B),(B),,,,22810(B)
22810(C),PC,SELL/FURNISH TEAR GAS:MNR,F,2012-01-01,,22810,(C),(C),,,,22810(C)
22810(C),PC,SELL/FURNISH TEAR GAS:MNR,M,2012-01-01,,22810,(C),(C),,,,22810(C)
22810(D),PC,MINOR POS/ETC:TR GAS/WPN,F,2012-01-01,,22810,(D),(D),,,,22810(D)
22810(D),PC,MINOR POS/ETC:TR GAS/WPN,M,2012-01-01,,22810,(D),(D),,,,22810(D)
22810(E)(1),PC,POS/ETC PROJECTILE TR GAS,F,2012-01-01,,22810,(E)(1),(E),(1),,,22810(E)(1)
22810(E)(1),PC,POS/ETC PROJECTILE TR GAS,M,2012-01-01,,22810,(E)(1),(E),(1),,,22810(E)(1)
22810(E)(3),PC,TEARGAS DISPLAY EXP DATE,M,2012-01-01,,22810,(E)(3),(E),(3),,,22810(E)(3)
22810(G)(1),PC,ILUSE TEARGAS/TEARGAS WPN,F,2012-01-01,,22810,(G)(1),(G),(1),,,22810(G)(1)
22810(G)(1),PC,ILUSE TEARGAS/TEARGAS WPN,M,2012-01-01,,22810,(G)(1),(G),(1),,,22810(G)(1)
22810(G)(2),PC,ILUSE TEARGAS/TG WPN:PO,F,2012-01-01,,22810,(G)(2),(G),(2),,,22810(G)(2)
22815(A),PC,MNR:TEARGAS/TG WPN:NO OK,M,2012-01-01,,22815,(A),(A),,,,22815(A)
22852.5(B),VC,OBT VEH W/LEIN:FRAUD/ETC,M,1981-01-01,,22852.5,(B),(B),,,,22852.5(B)
22900,PC,SELL TEARGAS/TEARGAS WPN,M,2012-01-01,,22900,,,,,,22900
22910(A),PC,ALTER SERIAL NBR:TEAR GAS,M,2012-01-01,,22910,(A),(A),,,,22910(A)
22910(A),PC,ALTER SERIAL NBR:TEAR GAS,F,2012-01-01,,22910,(A),(A),,,,22910(A)
22910(B),PC,POSS ALT SER NBR:TEAR GAS,M,2012-01-01,,22910,(B),(B),,,,22910(B)
22910(B),PC,POSS ALT SER NBR:TEAR GAS,F,2012-01-01,,22910,(B),(B),,,,22910(B)
22972,BP,FAIL DISPLAY REQ LICENSE,M,2004-06-30,,22972,,,,,,22972
22974,BP,RET PURCHASE INVOICE VIOL,M,2004-01-01,,22974,,,,,,22974
22974.3(A)(3),BP,SEIZD UNSTMPD CIGRETTS/20,M,2004-01-01,,22974.3,(A)(3),(A),(3),,,22974.3(A)(3)
22974.5,BP,FAIL TO DISPLAY LICENSE,M,2004-01-01,,22974.5,,,,,,22974.5
22980(B),BP,REF ALLOW INSPEC CIG/TOB,M,2011-01-01,,22980,(B),(B),,,,22980(B)
22980.2(A),BP,SELL TOBACCO W/O LICENSE,M,2004-01-01,,22980.2,(A),(A),,,,22980.2(A)
23103,VC,RECKLESS DRIVING,M,1959-09-18,,23103,,,,,,23103
23103(A),VC,RECKLESS DRIVING:HIGHWAY,M,1986-01-01,,23103,(A),(A),,,,23103(A)
23103(B),VC,RECKLESS DRIVING:PARK LOT,M,1991-10-14,,23103,(B),(B),,,,23103(B)
23103.5,VC,PLEA TO 23103 IN LIEU OF,X,1982-02-18,,23103.5,,,,,,23103.5
23104(A),VC,RECKLESS DRIVING W/INJURY,M,1984-01-01,,23104,(A),(A),,,,23104(A)
23104(B),VC,RECK DRIV:GBI:SP/PR/CNVCT,F,1984-01-01,,23104,(B),(B),,,,23104(B)
23105(A),VC,RECKLESS DRIVING:SPEC INJ,F,2007-01-01,,23105,(A),(A),,,,23105(A)
23105(A),VC,RECKLESS DRIVING:SPEC INJ,M,2007-01-01,,23105,(A),(A),,,,23105(A)
23109,VC,SPEED CONTEST/EXH/BLCK RD,M,1959-09-18,,23109,,,,,,23109
23109(A),VC,ILLEGAL SPEED CONTEST,M,1959-09-18,,23109,(A),(A),,,,23109(A)
23109(B),VC,AIDE/ABET SPEED CONTEST,M,1985-01-01,,23109,(B),(B),,,,23109(B)
23109(C),VC,AIDE/ABET SPEED EXHIBITN,M,1985-01-01,,23109,(C),(C),,,,23109(C)
23109(D),VC,BLOCK/ETC RD:SPEED CONTES,M,1985-01-01,,23109,(D),(D),,,,23109(D)
23109.1,VC,ILLEGAL SPEED CONTEST:INJ,M,2011-10-01,,23109.1,,,,,,23109.1
23109.1,VC,ILLEGAL SPEED CONTEST:INJ,F,2011-10-01,,23109.1,,,,,,23109.1
23110(A),VC,THROW SUBSTANCE AT VEH,M,1959-09-18,,23110,(A),(A),,,,23110(A)
23110(B),VC,THROW SUB AT VEH:INT:GBI,F,1959-09-18,,23110,(B),(B),,,,23110(B)
23111,VC,THROW/ETC CIG/ETC:HWY/ETC,I,1970-11-23,,23111,,,,,,23111
23112,VC,TOSS/ETC MATTER:HWY/ETC,I,1959-09-18,,23112,,,,,,23112
23112.5(A),VC,HAZ MAT SPILL:NOTIFIY CHP,M,1986-01-01,,23112.5,(A),(A),,,,23112.5(A)
23113(A),VC,FAIL REMOVE SPILLED MATRL,I,2000-01-01,,23113,(A),(A),,,,23113(A)
23114(A),VC,IMPROP VEH:SPILL/ETC:HWY,M,1989-07-12,,23114,(A),(A),,,,23114(A)
23114(B),VC,ILL TRANSP AGGREGATE:HWY,M,1989-01-01,,23114,(B),(B),,,,23114(B)
23114(B)(1),VC,TRNSP AGGREGTE:CARGO VIOL,M,1990-01-01,,23114,(B)(1),(B),(1),,,23114(B)(1)
23114(E),VC,AGGREGATE:FAL COVER LOAD,M,1989-01-01,,23114,(E),(E),,,,23114(E)
23114(E)(1),VC,TRNSP AGGREGTE UNCVRD:HWY,M,1990-09-01,,23114,(E)(1),(E),(1),,,23114(E)(1)
23115(A),VC,FAIL COVER RUBBISH VEH LD,I,1990-09-01,,23115,(A),(A),,,,23115(A)
23116(A),VC,CARRY PERSON:BACK:TRUCK,I,1994-01-01,,23116,(A),(A),,,,23116(A)
23116(B),VC,RIDE BACK MOTORTRUCK VIOL,I,1996-01-01,,23116,(B),(B),,,,23116(B)
23117,VC,TRNSPRT OF ANM W/O RSTRNT,I,2019-01-01,,23117,,,,,,23117
23123(A),VC,USE CELLPH W/DRIV W/O HFD,I,2008-01-01,,23123,(A),(A),,,,23123(A)
23123.5(A),VC,NO TEXT-BASED COMM W/DRIV,I,2009-01-01,2016-12-31,23123.5,(A),(A),,,,23123.5(A)
23123.5(A),VC,NO HND HLD DEVICE W/DRIVE,I,2017-01-01,,23123.5,(A),(A),,,,23123.5(A)
23124(B),VC,USE CELL PH W/DRIV:UND 18,I,2008-01-01,,23124,(B),(B),,,,23124(B)
23127,VC,OPR MOTOR VEH:TRAILS/PATH,M,1965-09-17,,23127,,,,,,23127
23136(A),VC,DUI:UNDR 21YR W/BA.01,I,1994-01-01,,23136,(A),(A),,,,23136(A)
23140,VC,DUI:-21,I,1987-01-01,,23140,,,,,,23140
23140(A),VC,MINOR DRIVE W/BAC 0.05,I,1987-01-01,,23140,(A),(A),,,,23140(A)
23152(A),VC,DUI ALCOHOL/DRUGS,M,1982-01-01,2013-12-31,23152,(A),(A),,,,23152(A)
23152(A),VC,DUI W/PRIORS:PER 23550 VC,F,1992-01-01,,23152,(A),(A),,,,23152(A)
23152(A),VC,DUI ALCOHOL,M,2014-01-01,,23152,(A),(A),,,,23152(A)
23152(B),VC,DUI:ALCOHOL/DRUGS,M,1990-01-01,2013-12-31,23152,(B),(B),,,,23152(B)
23152(B),VC,DUI ALCOHOL/0.08 PERCENT,M,1990-01-01,,23152,(B),(B),,,,23152(B)
23152(B),VC,DUI 0.08 W/PR:PER 23550VC,F,1991-01-01,,23152,(B),(B),,,,23152(B)
23152(C),VC,ADDICT DRIVE VEHICLE,M,1982-01-01,,23152,(C),(C),,,,23152(C)
23152(D),VC,DUI:ALC/.04 COMERCIAL VEH,M,1992-01-01,,23152,(D),(D),,,,23152(D)
23152(E),VC,DUI DRUG,M,2014-01-01,2016-12-31,23152,(E),(E),,,,23152(E)
23152(E),VC,DUI:ALC/.04 PASS FOR HIRE,M,2018-07-01,,23152,(E),(E),,,,23152(E)
23152(F),VC,DUI ALCOHOL/DRUG,M,2014-01-01,2016-12-31,23152,(F),(F),,,,23152(F)
23152(F),VC,DUI ANY DRUG,M,2017-01-01,,23152,(F),(F),,,,23152(F)
23152(G),VC,DUI ALCOHOL AND DRUG,M,2017-01-01,,23152,(G),(G),,,,23152(G)
23153(A),VC,DUI:ALC/DRUG:RSLT:BOD INJ,F,1984-01-01,2013-12-31,23153,(A),(A),,,,23153(A)
23153(A),VC,DUI ALC/DRUGS:BODILY INJ,M,1992-01-01,2013-12-31,23153,(A),(A),,,,23153(A)
23153(A),VC,DUI ALCOHOL:CAUSE BOD INJ,F,2014-01-01,,23153,(A),(A),,,,23153(A)
23153(A),VC,DUI ALCOHOL:CAUSE BOD INJ,M,2014-01-01,,23153,(A),(A),,,,23153(A)
23153(B),VC,DUI .08 ALCOHOL:BODLY INJ,F,1990-01-01,,23153,(B),(B),,,,23153(B)
23153(B),VC,DUI .08 ALCOHOL:BODLY INJ,M,2014-01-01,,23153,(B),(B),,,,23153(B)
23153(D),VC,DUI:ALC .04:CMRCL VEH:INJ,F,1992-01-01,,23153,(D),(D),,,,23153(D)
23153(E),VC,DUI DRUG:CAUSE BODILY INJ,F,2014-01-01,2016-12-31,23153,(E),(E),,,,23153(E)
23153(E),VC,DUI DRUG:CAUSE BODILY INJ,M,2014-01-01,2016-12-31,23153,(E),(E),,,,23153(E)
23153(F),VC,DUI ALC/DRUG:CAUS BOD INJ,F,2014-01-01,2016-12-31,23153,(F),(F),,,,23153(F)
23153(F),VC,DUI ALC/DRUG:CAUS BOD INJ,M,2014-01-01,2016-12-31,23153,(F),(F),,,,23153(F)
23153(F),VC,DUI DRUG:CAUSE BODILY INJ,M,2017-01-01,,23153,(F),(F),,,,23153(F)
23153(F),VC,DUI DRUG:CAUSE BODILY INJ,F,2017-01-01,,23153,(F),(F),,,,23153(F)
23153(G),VC,DUI ALC/DRUG:CAUS BOD INJ,M,2017-01-01,,23153,(G),(G),,,,23153(G)
23153(G),VC,DUI ALC/DRUG:CAUS BOD INJ,F,2017-01-01,,23153,(G),(G),,,,23153(G)
23154(A),VC,DUI W/PROB:23152/23153,I,2009-01-01,,23154,(A),(A),,,,23154(A)
23220,VC,DRINK WHILE DRIVING,I,1982-01-01,2017-12-31,23220,,,,,,23220
23220(A),VC,DRNK ALC/MARIJ WHLE DRVNG,I,2018-01-01,,23220,(A),(A),,,,23220(A)
23220(B),VC,DRNK ALC/MARIJ AS PASSNGR,I,2018-01-01,,23220,(B),(B),,,,23220(B)
23221,VC,DRINK ALC IN VEH ON HWY,I,1982-01-01,2017-12-31,23221,,,,,,23221
23221(A),VC,ALC/MARIJ IN VEH ON HWY,I,2018-01-01,,23221,(A),(A),,,,23221(A)
23221(B),VC,ALC/MARIJ AS PASSENGR HWY,I,2018-01-01,,23221,(B),(B),,,,23221(B)
23222(A),VC,POSS OPEN CONTAINER:DRIVE,I,1984-01-01,,23222,(A),(A),,,,23222(A)
23222(B),VC,POSS MARIJUANA W/DRIVING,M,1984-01-01,2010-12-31,23222,(B),(B),,,,23222(B)
23222(B),VC,POSS MARIJUANA WHILE DRIV,I,2011-01-01,,23222,(B),(B),,,,23222(B)
23223(A),VC,DRIVER POSS OPEN ALC CONT,I,2000-01-01,,23223,(A),(A),,,,23223(A)
23223(B),VC,PASSENGER:W/OPEN ALC CONT,I,2000-01-01,,23223,(B),(B),,,,23223(B)
23224,VC,ALCOHOL IN VEHICLE:-21,M,1973-03-07,,23224,,,,,,23224
23224(A),VC,MNR OPR VEH:CARRY ALC,M,1973-03-07,,23224,(A),(A),,,,23224(A)
23224(B),VC,RIDER:MNR:POS/ETC ALC:VEH,M,1973-03-07,,23224,(B),(B),,,,23224(B)
23225(A)(1),VC,OWNER/DRIVER:OPEN ALC:VEH,I,1982-01-01,,23225,(A)(1),(A),(1),,,23225(A)(1)
23226,VC,STORE OPEN/ETC ALC IN VEH,I,1982-01-01,,23226,,,,,,23226
23247(A),VC,RENT/ETC VEH:INTRLOC PRSN,M,1973-01-01,,23247,(A),(A),,,,23247(A)
23247(B),VC,ASK PRSN USE INTERLOC DEV,M,1993-01-01,,23247,(B),(B),,,,23247(B)
23247(C),VC,START VEH W/INTERLOCK DEV,M,1993-01-01,,23247,(C),(C),,,,23247(C)
23247(D),VC,TAMPR/ETC W/INTERLOCK DEV,M,1993-01-01,,23247,(D),(D),,,,23247(D)
23247(E),VC,DRIVE W/O INTERLOCK DEV,M,1994-09-30,,23247,(E),(E),,,,23247(E)
23253,VC,DISOBEY PO:VEH CROSS/TOLL,M,1993-01-01,,23253,,,,,,23253
23300,BP,SELL LIQUOR W/O LICENSE,M,1953-09-09,,23300,,,,,,23300
23301,BP,SELL LIQUOR W/O LICENSE,M,1953-09-09,,23301,,,,,,23301
23302(A),VC,REFUSAL TO PAY TOLLS/ETC,I,1959-09-18,,23302,(A),(A),,,,23302(A)
23302(A),VC,PERSON FAIL TO PAY TOLL,I,2010-01-01,,23302,(A),(A),,,,23302(A)
23332,VC,TRESPAS NON-PUB VEH CROSS,M,1959-09-18,,23332,,,,,,23332
23336,VC,VEH XING/ETC:SIGN/REG VIO,I,1959-09-18,,23336,,,,,,23336
23546(A),VC,3RD DUI CONV WITHIN 10YRS,M,1999-01-01,,23546,(A),(A),,,,23546(A)
23550(A),VC,DUI W/PR SPEC CONVICTIONS,M,1999-01-01,,23550,(A),(A),,,,23550(A)
23550(A),VC,DUI W/PR SPEC CONVICTIONS,F,1999-01-01,,23550,(A),(A),,,,23550(A)
23550.5(A),VC,DUI W/IN 10YRS:PR FEL DUI,M,1999-01-01,,23550.5,(A),(A),,,,23550.5(A)
23550.5(A),VC,DUI W/IN 10YRS:PR FEL DUI,F,1999-01-01,,23550.5,(A),(A),,,,23550.5(A)
23573(I),VC,FAIL INSTAL INTRLCK DEVCE,M,2009-07-01,,23573,(I),(I),,,,23573(I)
23900,PC,ALTER/ETC F/ARM ID MARK,F,2012-01-01,,23900,,,,,,23900
23920,PC,POSS/ETC F/ARM W/O ID MRK,M,2012-01-01,,23920,,,,,,23920
24002,VC,UNLAWFUL OPERATION OF VEH,I,1992-09-15,,24002,,,,,,24002
24003,VC,VEH WITH UNLAWFUL LAMPS,I,1980-01-01,,24003,,,,,,24003
24004,VC,OPERATE AFTER NTC BY OFCR,I,2019-01-01,,24004,,,,,,24004
24005,VC,SELL/ETC UNLAWF EQUIPMENT,I,1959-09-18,,24005,,,,,,24005
24007(B)(1),VC,SELL VEH W/OUT SMOG REQ,I,1994-01-01,,24007,(B)(1),(B),(1),,,24007(B)(1)
24008,VC,MODIFIED VEH RIM HGT VIOL,I,1991-01-01,,24008,,,,,,24008
24008.5,VC,VEH EXCEED FRAME HEIGHTS,M,1986-01-01,,24008.5,,,,,,24008.5
24012,VC,FAIL COMPLY:MOUNTING REQ,I,1980-01-01,,24012,,,,,,24012
24046,BP,FAIL POST LIC CONSP PLACE,M,1953-01-01,,24046,,,,,,24046
24250,VC,DRIVE WITHOUT LIGHTS:DARK,I,1981-09-18,,24250,,,,,,24250
24252(A),VC,FAIL MAINT VEH LITE EQUIP,I,1968-11-13,,24252,(A),(A),,,,24252(A)
24252(B),VC,LAMP VOLT:85 PER REQ VOLT,I,1968-11-13,,24252,(B),(B),,,,24252(B)
24310,PC,MFG/ETC CAMO F/A CONTAINR,F,2012-01-01,,24310,,,,,,24310
24310,PC,MFG/ETC CAMO F/A CONTAINR,M,2012-01-01,,24310,,,,,,24310
24400,VC,HEADLAMP:OPR/AMT/SIZE:VIO,I,1959-09-18,,24400,,,,,,24400
24402(A),VC,AUXILIARY DRIVE LAMP VIOL,I,1969-11-10,,24402,(A),(A),,,,24402(A)
24403,VC,FOG LAMPS VIOL,I,1969-11-10,,24403,,,,,,24403
24406,VC,LIGHT DIMMER SWITCH VIOL,I,1960-01-01,,24406,,,,,,24406
24407(A),VC,HIGHBEAM PROJECT 350 FEET,I,1963-09-20,,24407,(A),(A),,,,24407(A)
24407(B),VC,LOWBEAM GLARE VIOLATION,I,1963-09-20,,24407,(B),(B),,,,24407(B)
24408,VC,BEAM INDICATOR VIOL:VEH,I,1959-09-18,,24408,,,,,,24408
24409(A),VC,FAIL DIM BEAMS:ONCOMING,I,1965-09-17,,24409,(A),(A),,,,24409(A)
24409(B),VC,FAIL DIM BEAMS:FOLLOW VEH,I,1965-09-17,,24409,(B),(B),,,,24409(B)
24410,PC,MFG/SALE/ETC CANE GUN,F,2012-01-01,,24410,,,,,,24410
24410,PC,MFG/SALE/ETC CANE GUN,M,2012-01-01,,24410,,,,,,24410
24410(A),VC,SINGLE BEAM:PROPER ADJUST,I,1965-09-17,,24410,(A),(A),,,,24410(A)
24411,VC,AUX LMPS NOT COVERD W/DRV,I,2019-01-01,,24411,,,,,,24411
24510,PC,MFG/ETC F/ARM UNRECOGNIZD,F,2012-01-01,,24510,,,,,,24510
24510,PC,MFG/ETC F/ARM UNRECOGNIZD,M,2012-01-01,,24510,,,,,,24510
24600,HS,SELL VAPING DEVICE -18 YR,I,2016-01-01,,24600,,,,,,24600
24600,VC,TAILLAMP VIOLATIONS,I,1989-01-01,,24600,,,,,,24600
24601,VC,FAIL MAINT LIC PLATE LAMP,I,1965-09-17,,24601,,,,,,24601
24602(A),VC,FOG TAILLAMPS VIOL,I,1981-01-01,,24602,(A),(A),,,,24602(A)
24603,VC,STOPLAMP VIOLATIONS,I,1989-01-01,,24603,,,,,,24603
24603(A),VC,STOPLAMPS:VEH MUST HAVE,I,1989-01-01,,24603,(A),(A),,,,24603(A)
24603(B),VC,STOPLAMPS VIOL:SPEC VEH,I,1965-09-17,,24603,(B),(B),,,,24603(B)
24603(D),VC,STOPLAMPS:VEH 2 REQUIRED,I,1988-09-16,,24603,(D),(D),,,,24603(D)
24603(E),VC,STOPLAMPS VIOL:N/VISIBLE,I,1965-09-17,,24603,(E),(E),,,,24603(E)
24604,VC,NO LAMP/FLAG/ETC EXT LOAD,I,1965-09-17,,24604,,,,,,24604
24605(A),VC,TOW TRUCK TAILLAMP VIOL,I,1989-01-01,,24605,(A),(A),,,,24605(A)
24605(B),VC,TOW TRK TAIL/STOP LMP VIO,I,1989-01-01,,24605,(B),(B),,,,24605(B)
24606,VC,BACKUP LAMPS VIOLATION,I,1982-01-01,,24606,,,,,,24606
24607(A),VC,REAR VEH REFLECTOR VIOL,I,1991-01-01,,24607,(A),(A),,,,24607(A)
24607(B),VC,REF:VEH MFG/REG A/1-1-65,I,1991-01-01,,24607,(B),(B),,,,24607(B)
24608(A),VC,LGHT REFL TRK/TRLR FR/SID,I,2019-01-01,,24608,(A),(A),,,,24608(A)
24608(B),VC,LT REFL 30+TRK/TRLR FR/SD,I,2019-01-01,,24608,(B),(B),,,,24608(B)
24610,PC,MFG/ETC UNDETECT FIREARM,F,2012-01-01,,24610,,,,,,24610
24610,PC,MFG/ETC UNDETECT FIREARM,M,2012-01-01,,24610,,,,,,24610
24612(A),VC,FLR DISP REFL MAT ON TRLR,I,2019-01-01,,24612,(A),(A),,,,24612(A)
24615,VC,SLOW MOVE VEH EMBLEM VIOL,I,1972-05-03,,24615,,,,,,24615
24710,PC,MFG/SALE/POSS WALLET GUN,F,2012-01-01,,24710,,,,,,24710
24710,PC,MFG/SALE/POSS WALLET GUN,M,2012-01-01,,24710,,,,,,24710
24800,VC,DRIVE W/PARK LIGHTS ONLY,I,1961-03-31,,24800,,,,,,24800
24950,VC,TRN SIG REQ - TOWING TRLR,I,2019-01-01,,24950,,,,,,24950
24951(B),VC,TURN SIGNAL VIOLATION,I,1976-01-01,,24951,(B),(B),,,,24951(B)
24952,VC,VIOL VISBLTY REQ:TURN SIG,I,1965-09-17,,24952,,,,,,24952
24953(A),VC,TURN SIGNAL LAMP VIOL,I,1973-01-01,,24953,(A),(A),,,,24953(A)
25100(A),PC,CRIM STORE F/ARM:1ST DEG,F,2012-01-01,,25100,(A),(A),,,,25100(A)
25100(A),PC,CRIM STORE F/ARM:1ST DEG,M,2012-01-01,,25100,(A),(A),,,,25100(A)
25100(A),VC,CLEAR/SIDE MARKR LAMP REQ,I,2019-01-01,,25100,(A),(A),,,,25100(A)
25100(B),PC,CRIM STORE F/ARM:2ND DEG,M,2012-01-01,,25100,(B),(B),,,,25100(B)
25100(C),PC,CRIM STORE F/ARM:3RD DEG,M,2014-01-01,,25100,(C),(C),,,,25100(C)
25102,VC,SIDE LAMPS VIOL,I,1956-09-18,,25102,,,,,,25102
25103(A)(B),VC,VEH LD LFT 1+ FT AMB LMP,I,2019-01-01,,25103,(A)(B),(A),(B),,,25103(A)(B)
25103(B),VC,VEH LD LFT 1+ FT RED LMP,I,2019-01-01,,25103,(B),(B),,,,25103(B)
25104(A),VC,RED FLG REQ OVERWIDTH DAY,I,2019-01-01,,25104,(A),(A),,,,25104(A)
25106(A),VC,FRONT FENDER/ETC LAMP VIO,I,1980-01-01,,25106,(A),(A),,,,25106(A)
25106(B),VC,LAMP REQUIREMENT VIOLATIO,I,1968-01-01,,25106,(B),(B),,,,25106(B)
25109,VC,FRONT RUNNING LAMPS VIOL,I,1965-09-17,,25109,,,,,,25109
25110,CC,OFR/SELL UNQUALIF SECURTY,F,1969-01-02,,25110,,,,,,25110
25110(A)(1),VC,FLOOD LAMP EXCEEDS 75 FT,I,2019-01-01,,25110,(A)(1),(A),(1),,,25110(A)(1)
25135,PC,F/A:RESDNCE W/PROHIB PRSN,M,2014-01-01,,25135,,,,,,25135
25140(A),PC,F/A:UNATND VEH LOCK TRUNK,I,2017-01-01,2020-11-08,25140,(A),(A),,,,25140(A)
25140(A),PC,H/GUN ILLGL STORED IN VEH,I,2020-11-09,,25140,(A),(A),,,,25140(A)
25160(B)(1),HS,TRNSP HAZ WAST NO PAPR:PR,F,1985-01-01,,25160,(B)(1),(B),(1),,,25160(B)(1)
25160(B)(1),HS,TRNSP HAZ WASTE NO PAPERS,M,1985-01-01,,25160,(B)(1),(B),(1),,,25160(B)(1)
25163(A)(1),HS,TRNSP HAZ WASTE NO REG:PR,F,1992-01-01,,25163,(A)(1),(A),(1),,,25163(A)(1)
25163(A)(1),HS,TRNSP HAZ WAST W/O REG,M,1978-01-01,,25163,(A)(1),(A),(1),,,25163(A)(1)
25177,BP,SELL REFILL DISTD SPIRITS,M,1954-01-01,,25177,,,,,,25177
25185.6,HS,HAZ WASTE DISPOSAL SECRET,M,2016-01-01,,25185.6,,,,,,25185.6
25189(C),HS,INTENTNAL DISP HAZD WASTE,M,1980-09-10,,25189,(C),(C),,,,25189(C)
25189(D),HS,NEGLIGENT DISP HAZD WASTE,M,1982-01-01,,25189,(D),(D),,,,25189(D)
25189.5(A),HS,DISPOSE HAZARD WASTE VIOL,F,1982-07-12,,25189.5,(A),(A),,,,25189.5(A)
25189.5(B),HS,DISPOSE HAZARD WASTE VIOL,F,1985-01-01,,25189.5,(B),(B),,,,25189.5(B)
25189.5(C),HS,TRANSPORT HAZARDOUS WASTE,F,1985-01-01,,25189.5,(C),(C),,,,25189.5(C)
25189.5(D),HS,HAZARD WASTE STORAGE VIOL,F,1989-10-02,,25189.5,(D),(D),,,,25189.5(D)
25189.6(A),HS,RECKLESS TRANSP HAZ WASTE,F,1989-01-01,,25189.6,(A),(A),,,,25189.6(A)
25189.6(A),HS,RECKLESS TRANSP HAZ WASTE,M,1989-01-01,,25189.6,(A),(A),,,,25189.6(A)
25189.6(B),HS,ENDANGER:HAZ MAT:SBI/DTH,F,1990-01-01,,25189.6,(B),(B),,,,25189.6(B)
25189.7(A),HS,BURN HAZ WASTE W/OUT PERM,M,1978-01-01,,25189.7,(A),(A),,,,25189.7(A)
25191(B)(1),HS,FALSIFY HAZ WASTE RPT/ETC,M,1995-01-01,,25191,(B)(1),(B),(1),,,25191(B)(1)
25191(B)(5),HS,TRNSP HAZ/WASTE:NO MANFST,M,1995-01-01,,25191,(B)(5),(B),(5),,,25191(B)(5)
25191(B)(6),HS,STORE/ETC/TRNSP HAZ WASTE,M,1995-01-01,,25191,(B)(6),(B),(6),,,25191(B)(6)
25200(A),PC,F/A ACCES BY CHILD:PREMIS,M,2012-01-01,2013-12-31,25200,(A),(A),,,,25200(A)
25200(A),PC,F/A ACCES BY CHLD:PREMISE,M,2014-01-01,,25200,(A),(A),,,,25200(A)
25200(B),PC,F/A ACCES CHLD:BRNG SCHOL,M,2014-01-01,,25200,(B),(B),,,,25200(B)
25200(B)(3),PC,F/A ACCES BY CHILD:SCHOOL,M,2012-01-01,2013-12-31,25200,(B)(3),(B),(3),,,25200(B)(3)
25217.1,HS,DISP LATEX PAINT:LAND/WAT,M,1992-01-01,,25217.1,,,,,,25217.1
25230(A),CC,INVEST ADVISER W/OUT CERT,M,1969-01-02,,25230,(A),(A),,,,25230(A)
25250,PC,REPORT LOSS/THEFT FIREARM,I,2017-07-01,2020-11-13,25250,,,,,,25250
25250,VC,ILLEGAL FLASHING LIGHTS,I,1963-09-20,,25250,,,,,,25250
25250(A),PC,FAIL REPORT 3+ LOST F/ARM,M,2017-07-01,,25250,(A),(A),,,,25250(A)
25250(A),PC,FAIL RPRT LOST/STLN F/ARM,I,2020-11-16,,25250,(A),(A),,,,25250(A)
25250(B),PC,FAIL RPRT RECOVERED F/ARM,I,2017-07-01,,25250,(B),(B),,,,25250(B)
25250(B),PC,FL RPRT RECOVERD F/ARM 3+,M,2017-07-01,,25250,(B),(B),,,,25250(B)
25250.5,HS,IMP DISP/ETC USED/ETC OIL,M,1987-01-01,,25250.5,,,,,,25250.5
25251(A),VC,TRN SIG FLSHD VEH DISABLE,I,2019-01-01,,25251,(A),(A),,,,25251(A)
25253(A),VC,WARNING LAMPS ON TOW TRK,I,2019-01-01,,25253,(A),(A),,,,25253(A)
25268,VC,MISUSE:AMBER WRNING LGHTS,I,1961-09-15,,25268,,,,,,25268
25270,VC,IMPRP USE WRN LAMPS PILOT,I,2019-01-01,,25270,,,,,,25270
25275(A),PC,FLS RPRT LOST/STLN F/ARM,I,2016-11-09,,25275,(A),(A),,,,25275(A)
25300(A),PC,MASKD CRMNL POS F/ARM:PUB,F,2012-01-01,,25300,(A),(A),,,,25300(A)
25300(A),PC,MSKD PERSN POSS F/ARM PUB,M,2012-01-01,,25300,(A),(A),,,,25300(A)
25351,BP,POSS ALC BEV:CAN BE SEIZD,M,1953-09-09,,25351,,,,,,25351
25400(A)(1),PC,CCW IN VEHICLE,F,2012-01-01,,25400,(A)(1),(A),(1),,,25400(A)(1)
25400(A)(1),PC,CCW IN VEHICLE,M,2012-01-01,,25400,(A)(1),(A),(1),,,25400(A)(1)
25400(A)(2),PC,CCW ON PERSON,F,2012-01-01,,25400,(A)(2),(A),(2),,,25400(A)(2)
25400(A)(2),PC,CCW ON PERSON,M,2012-01-01,,25400,(A)(2),(A),(2),,,25400(A)(2)
25400(A)(3),PC,CCW IN VEHICLE:OCCUPANT,F,2012-01-01,,25400,(A)(3),(A),(3),,,25400(A)(3)
25400(A)(3),PC,CCW IN VEHICLE:OCCUPANT,M,2012-01-01,,25400,(A)(3),(A),(3),,,25400(A)(3)
25400(B),VC,DIFFUSED LIGHT:NO RED,I,1968-07-16,,25400,(B),(B),,,,25400(B)
25400(C)(1),PC,CCW IN VEH W/PR FEL CONV,F,2012-01-01,,25400,(C)(1),(C),(1),,,25400(C)(1)
25400(C)(2),PC,CARRY CONCEALED STLN WPN,F,2012-01-01,,25400,(C)(2),(C),(2),,,25400(C)(2)
