_geocodio_number,_geocodio_street,_geocodio_city,_geocodio_state,_geocodio_zip,_geocodio_street_address,_project_types,_org_names,_org_ids,_subcategory,_category,_parsed,_coc_ids
801,TULLY RD,MODESTO,CA,95350,801 TULLY RD,TH,Halo Tully,6126,transitional housing,sheltered,"801 TULLY RD, MODESTO, CA, 95350",CA-510
801,W 7TH ST,HANFORD,CA,93230,801 W 7TH ST,TH,Andy's House; Life Transformation Program,38613,transitional housing,sheltered,"801 W 7TH ST, HANFORD, CA, 93230",CA-513
801,W WASHINGTON ST,EUREKA,CA,95501,801 W WASHINGTON ST,ES,Blue Angel Village,41399,emergency shelter,unhoused,"801 W WASHINGTON ST, EUREKA, CA, 95501",CA-522
802,E 6TH ST,LOS ANGELES,CA,90021,802 E 6TH ST,PSH,Ellis Hotel,38296,permanent supportive housing,sheltered,"802 E 6TH ST, LOS ANGELES, CA, 90021",CA-600
802,MARTIN LUTHER KING JR WAY,TACOMA,WA,98405,802 MARTIN LUTHER KING JR WAY,ES,LIHI - Temporary Emergency Micro-Shelter (TEMS),41538,emergency shelter,unhoused,"802 MARTIN LUTHER KING JR WAY, TACOMA, WA, 98405",WA-503
8028,E BURNSIDE ST,PORTLAND,OR,97215,8028 E BURNSIDE ST,PSH,TPI - Oregon Vets (OHA) - PSH (5744),7352,permanent supportive housing,sheltered,"8028 E BURNSIDE ST, PORTLAND, OR, 97215",OR-501
803,N 5TH ST,SHELTON,WA,98584,803 N 5TH ST,TH,MCSHenry,4311,transitional housing,sheltered,"803 N 5TH ST, SHELTON, WA, 98584",WA-501
803,N GARFIELD ST,SANTA ANA,CA,92701,803 N GARFIELD ST,OPH,San Miguel,4661,OPH,sheltered,"803 N GARFIELD ST, SANTA ANA, CA, 92701",CA-602
803,W PARK,PORT TOWNSEND,WA,98368,803 W PARK,ES; RRH; TH; PSH,Haines Emergency Shelter; Northwest Passage Apartments; OCAHaines Street Cottages; OCAHEN Housing Grant RRH; OCASHP2; Northwest Passage Transitional Housing; OCASSVF RRH; Northwest Passage Crossroads; OCAJefferson County Winter Shelter; OCACHG Rent Assistance RRH; OCACrossroads Permanent Solutions; Port Townsend Winter Shelter,5104,mixed support,sheltered,"803 W PARK, PORT TOWNSEND, WA, 98368",WA-501
8030,15TH AVE NW,SEATTLE,WA,98117,8030 15TH AVE NW,ES,Whittier Heights Village,4227,emergency shelter,unhoused,"8030 15TH AVE NW, SEATTLE, WA, 98117",WA-500
8044,DARBY PL,RESEDA,CA,91335,8044 DARBY PL,TH,Porch Light Transitional Housing Program,28956,transitional housing,sheltered,"8044 DARBY PL, RESEDA, CA, 91335",CA-600
805,5TH AVE SE,OLYMPIA,WA,98501,805 5TH AVE SE,ES,Emergency Shelter; VATResident Beds ES (LSA); VATResident Beds ES (PIT); VATCold Weather Shelter; VATEmergencyShelter,32370,emergency shelter,unhoused,"805 5TH AVE SE, OLYMPIA, WA, 98501",WA-501
805,W 7TH ST,HANFORD,CA,93230,805 W 7TH ST,ES,Overnight Shelter,38613,emergency shelter,unhoused,"805 W 7TH ST, HANFORD, CA, 93230",CA-513
8050,OLD REDWOOD HWY,COTATI,CA,94931,8050 OLD REDWOOD HWY,PSH,Sanctuary House; Sanctuary House - TAY,8363,permanent supportive housing,sheltered,"8050 OLD REDWOOD HWY, COTATI, CA, 94931",CA-504
8050,SE ROOTS RD,PORTLAND,OR,97267,8050 SE ROOTS RD,TH,Springwater,7058,transitional housing,sheltered,"8050 SE ROOTS RD, PORTLAND, OR, 97267",OR-507
8066,SE TAGGART ST,PORTLAND,OR,97206,8066 SE TAGGART ST,PSH,CCC - Taggart Manor (2842),1391,permanent supportive housing,sheltered,"8066 SE TAGGART ST, PORTLAND, OR, 97206",OR-501
807,N GARFIELD ST,SANTA ANA,CA,92701,807 N GARFIELD ST,OPH; TH; RRH; PSH,CoC PSH Leasing; ISN (Interfaith Shelter Network); MCY PSH Collaborative; CA State ESG; CoC Rapid Re-housing (HO); CCH PSH Collaborative; Emmanuel House; Emmanuel Residence; CoC JRHR Rapid Re-housing; FSI PSH Collaborative,4661,mixed support,sheltered,"807 N GARFIELD ST, SANTA ANA, CA, 92701",CA-602
807,W PINE ST,SHELTON,WA,98584,807 W PINE ST,ES,MCMHSSP ES Vouchers,42971,emergency shelter,unhoused,"807 W PINE ST, SHELTON, WA, 98584",WA-501
807,W RAILROAD AVE,SHELTON,WA,98584,807 W RAILROAD AVE,RRH,LMMHEN Housing Grant RRH,41468,rapid rehousing,sheltered,"807 W RAILROAD AVE, SHELTON, WA, 98584",WA-501
808,5TH AVE SE,OLYMPIA,WA,98501,808 5TH AVE SE,ES,VATCold Weather Shelter,32370,emergency shelter,unhoused,"808 5TH AVE SE, OLYMPIA, WA, 98501",WA-501
808,LA VERGN WAY,SANTA ANA,CA,92703,808 LA VERGN WAY,TH,Start House,6541,transitional housing,sheltered,"808 LA VERGN WAY, SANTA ANA, CA, 92703",CA-602
808,W 58TH ST,LOS ANGELES,CA,90037,808 W 58TH ST,PSH,CA1787 Permanent Supportive Housing SPA 6,43647,permanent supportive housing,sheltered,"808 W 58TH ST, LOS ANGELES, CA, 90037",CA-600
808,W MURRAY AVE,VISALIA,CA,93291,808 W MURRAY AVE,PSH,Casa de Robles; Casa de Robles 2,10152,permanent supportive housing,sheltered,"808 W MURRAY AVE, VISALIA, CA, 93291",CA-513
8081,7TH ST,BUENA PARK,CA,90621,8081 7TH ST,TH,Transitional Housing - Buena Park; Transitional Housing Program,9730,transitional housing,sheltered,"8081 7TH ST, BUENA PARK, CA, 90621",CA-602
810,6TH ST,BREMERTON,WA,98337,810 6TH ST,TH; ES,KRMSafe Harbor (Night by Night); Fresh Start; KRMNew Beginnings (DO NOT USE - UNDER DEVELOPMENT),18945,mixed support,sheltered,"810 6TH ST, BREMERTON, WA, 98337",WA-501
810,AVE D,SAN FRANCISCO,CA,94130,810 AVE D,PSH,Treasure Island Phase II,8133,permanent supportive housing,sheltered,"810 AVE D, SAN FRANCISCO, CA, 94130",CA-501
810,N 6TH AVE,YAKIMA,WA,98902,810 N 6TH AVE,ES; PSH,NCAEWW Farmworking Housing; VASH; YHAVASH (Scattered-Site) PSH (NP),42113; 16207; 10425,mixed support,sheltered,"810 N 6TH AVE, YAKIMA, WA, 98902",WA-501; WA-507
810,S 13TH ST,TACOMA,WA,98405,810 S 13TH ST,OPH; PSH,Sound Families - Matsusaka; CCS - Matsusaka,8147,mixed support,sheltered,"810 S 13TH ST, TACOMA, WA, 98405",WA-503
810,S WENATCHEE AVE,WENATCHEE,WA,98801,810 S WENATCHEE AVE,ES,GHWGospel House (PIT); Gospel House; GHWGospel House (LSA),42929; 30449,emergency shelter,unhoused,"810 S WENATCHEE AVE, WENATCHEE, WA, 98801",WA-501
811,MAYNARD AVE S,SEATTLE,WA,98134,811 MAYNARD AVE S,TH; SH; ES,Cascade; Veterans Transitional Program; GPD - Veterans Transitional Program; William Booth Center FSP; William Booth Center (upper floor); William Booth Center (TLP); William Booth Shelter - HSD City of Seattle; William Booth Shelter - King County; Veterans GPD Low-Demand; TSA eBEDS; William Booth Shelter - FareStart; William Booth (lower level),9732,mixed support,sheltered,"811 MAYNARD AVE S, SEATTLE, WA, 98134",WA-500
811,S CARONDELET ST,LOS ANGELES,CA,90057,811 S CARONDELET ST,OPH; PSH,The Six Apartments,9870,mixed support,sheltered,"811 S CARONDELET ST, LOS ANGELES, CA, 90057",CA-600
811,SE 8TH AVE,OAK HARBOR,WA,98277,811 SE 8TH AVE,TH; ES,Marjie's House Transitional Housing; IOCMarjies House Emergency Shelter; Whidbey Shelter; IOCMarjies House Transitional (includes WFF),4898; 42946; 1658,mixed support,sheltered,"811 SE 8TH AVE, OAK HARBOR, WA, 98277",WA-501
811,W 1ST ST,ABERDEEN,WA,98520,811 W 1ST ST,ES,GEHEsther House (PIT),41211,emergency shelter,unhoused,"811 W 1ST ST, ABERDEEN, WA, 98520",WA-501
811,WILSHIRE BLVD,LOS ANGELES,CA,90017,811 WILSHIRE BLVD,ES,ERT/Calworks Family Voucher Program,,emergency shelter,unhoused,"811 WILSHIRE BLVD, LOS ANGELES, CA, 90017",CA-600
8124,S WESTERN AVE,LOS ANGELES,CA,90047,8124 S WESTERN AVE,ES,CES Crisis Housing Program NDC; 2016 CES Crisis/Bridge Housing SPA 6; Crisis and Bridge Housing ND,28732; 23413,emergency shelter,unhoused,"8124 S WESTERN AVE, LOS ANGELES, CA, 90047",CA-600
813,ALICE AVE,MOUNTAIN VIEW,CA,94041,813 ALICE AVE,TH,LifeMoves-SH-Graduate House; InnVision Shelter Network Graduate House(1480),8977,transitional housing,sheltered,"813 ALICE AVE, MOUNTAIN VIEW, CA, 94041",CA-500
813,N D ST,SAN BERNARDINO,CA,92401,813 N D ST,RRH,CC1 ESG City SB (RR-H),38867,rapid rehousing,sheltered,"813 N D ST, SAN BERNARDINO, CA, 92401",CA-609
8130,ATLANTIC AVE,CUDAHY,CA,90201,8130 ATLANTIC AVE,ES,Cal Works Homeless Assistance Program* - 06 Cudahy,18705,emergency shelter,unhoused,"8130 ATLANTIC AVE, CUDAHY, CA, 90201",CA-600
8130,S ATLANTIC AVE,CUDAHY,CA,90201,8130 S ATLANTIC AVE,ES,Cal Works Homeless Assistance Program 06 Cudahy; Cal Works Homeless Assistance Program 06 Cudahy (Vouchers); Cal Works Homeless Assistance Program* - 06 Cudahy,18705,emergency shelter,unhoused,"8130 S ATLANTIC AVE, CUDAHY, CA, 90201",CA-600
814,COLUMBIA ST,SEATTLE,WA,98104,814 COLUMBIA ST,PSH,Leighton Apartments,1636,permanent supportive housing,sheltered,"814 COLUMBIA ST, SEATTLE, WA, 98104",WA-500
814,S WATSON ST,VISALIA,CA,93277,814 S WATSON ST,TH,Crossroads TAY Housing - Porterville; Crossroads TAY Housing - Visalia,11689,transitional housing,sheltered,"814 S WATSON ST, VISALIA, CA, 93277",CA-513
8140,SUNLAND BLVD,SUN VALLEY,CA,91352,8140 SUNLAND BLVD,TH,CES Transitional Housing Program; Freehab; TAY Transitional Housing,32333; 41839,transitional housing,sheltered,"8140 SUNLAND BLVD, SUN VALLEY, CA, 91352",CA-600
815,6TH ST,SANTA MONICA,CA,90403,815 6TH ST,PSH,Regal Apartments,38296,permanent supportive housing,sheltered,"815 6TH ST, SANTA MONICA, CA, 90403",CA-600
815,N KELLOGG ST,KENNEWICK,WA,99336,815 N KELLOGG ST,RRH,GICRental Benton 2163 RRH,42061,rapid rehousing,sheltered,"815 N KELLOGG ST, KENNEWICK, WA, 99336",WA-501
815,W OAK AVE,VISALIA,CA,93291,815 W OAK AVE,PSH,Tulare Housing First II Bonus; PSH I Tracy Ct.; Road to Independence; PSH II Myrtle Ct.; PSH III United Way; Tulare Housing First II; Tulare Housing First,2772,permanent supportive housing,sheltered,"815 W OAK AVE, VISALIA, CA, 93291",CA-513
816,CACIQUE ST,SANTA BARBARA,CA,93103,816 CACIQUE ST,RRH; ES,PATH - Cottage Hospital (ES); Rapid Re-housing Program; Transitional Living Program; RRH; PATH-CSB24; Winter Shelter; PATH Winter Shelter (ES),38347,mixed support,sheltered,"816 CACIQUE ST, SANTA BARBARA, CA, 93103",CA-603
816,CAMANO AVE,LANGLEY,WA,98260,816 CAMANO AVE,RRH; TH; ES,Motel/Hotel Voucher; SWCSouth Whidbey TH; South Whidbey Homeless Coalition Rental Assistance; SWCThe Haven (PIT); SWCHouse of Hope-Shelter; House of Hope Shelter,38673,mixed support,sheltered,"816 CAMANO AVE, LANGLEY, WA, 98260",WA-501
816,E 21ST ST,BAKERSFIELD,CA,93305,816 E 21ST ST,TH; ES,HIS Center 3; HIS Center; Men's Aftercare Program; Men's Residential; Womenâ€™s Aftercare Program (2); Women's Aftercare Program; HIS Center 2; Women's Residential,734,mixed support,sheltered,"816 E 21ST ST, BAKERSFIELD, CA, 93305",CA-604
816,F ST SE,AUBURN,WA,98002,816 F ST SE,TH; ES,ACE Project; AYR Family Transition; SKYS - South King County Youth Shelter [RHY/BCP]; SKYS - South King County Youth Shelter [HOPE],832,mixed support,sheltered,"816 F ST SE, AUBURN, WA, 98002",WA-500
817,10TH ST,MODESTO,CA,95354,817 10TH ST,PSH,New HALO Vet; CICV HOPE HOUSING; HALO RCC VET,6126,permanent supportive housing,sheltered,"817 10TH ST, MODESTO, CA, 95354",CA-510
817,LASSEN ST,VALLEJO,CA,94591,817 LASSEN ST,PSH,Bliss II,18964,permanent supportive housing,sheltered,"817 LASSEN ST, VALLEJO, CA, 94591",CA-518
817,W OCEAN AVE,LOMPOC,CA,93436,817 W OCEAN AVE,PSH,VASH-Housing Authority of the County of Santa Barbara,16212,permanent supportive housing,sheltered,"817 W OCEAN AVE, LOMPOC, CA, 93436",CA-603
8174,S WESTERN AVE,LOS ANGELES,CA,90047,8174 S WESTERN AVE,ES,CES Bridge Housing Program NDC,28732,emergency shelter,unhoused,"8174 S WESTERN AVE, LOS ANGELES, CA, 90047",CA-600
818,91ST PL SE,EVERETT,WA,98208,818 91ST PL SE,ES,Pacific Treatment Alternatives - Shelter,43482,emergency shelter,unhoused,"818 91ST PL SE, EVERETT, WA, 98208",WA-504
818,E 3RD ST,SANTA ANA,CA,92701,818 E 3RD ST,ES,Hospitality House,9730,emergency shelter,unhoused,"818 E 3RD ST, SANTA ANA, CA, 92701",CA-602
818,N EUCLID ST,FULLERTON,CA,92832,818 N EUCLID ST,TH,Jacob House; Jacob's House; Transitional Housing,22421,transitional housing,sheltered,"818 N EUCLID ST, FULLERTON, CA, 92832",CA-602
818,N GARFIELD ST,SANTA ANA,CA,92701,818 N GARFIELD ST,OPH,San Miguel,4661,OPH,sheltered,"818 N GARFIELD ST, SANTA ANA, CA, 92701",CA-602
818,W YAKIMA AVE,YAKIMA,WA,98902,818 W YAKIMA AVE,TH; ES,YYWWFF2 - FIESTAS; YYWBringing It Home (CoC/CHG); YYWBringing It Home (WFF1/CHG); YYWDomestic Violence Shelter,42940,mixed support,sheltered,"818 W YAKIMA AVE, YAKIMA, WA, 98902",WA-501
819,E THOMPSON BLVD,VENTURA,CA,93001,819 E THOMPSON BLVD,PSH,Transition House,,permanent supportive housing,sheltered,"819 E THOMPSON BLVD, VENTURA, CA, 93001",CA-611
820,11TH AVE,LONGVIEW,WA,98632,820 11TH AVE,ES; OPH; TH; PSH,VASH-Cowlitz County; LHAGPD TH; LHAHCHV/ES; LHAVASH - Cowlitz County (NP); LHAVASH - Cowlitz County; LHAGPD TIP (PH),4244; 42951,mixed support,sheltered,"820 11TH AVE, LONGVIEW, WA, 98632",WA-501
820,B ST,SAN RAFAEL,CA,94901,820 B ST,ES; PSH,SVDP Emergency Shelter; Apartments,9975,mixed support,sheltered,"820 B ST, SAN RAFAEL, CA, 94901",CA-507
820,N SUMMIT BLVD,SPOKANE,WA,99201,820 N SUMMIT BLVD,PSH,Summit View WFF; Summit View Permanent Housing Program,8118,permanent supportive housing,sheltered,"820 N SUMMIT BLVD, SPOKANE, WA, 99201",WA-502
820,OFARRELL ST,SAN FRANCISCO,CA,94109,820 OFARRELL ST,PSH,Jordan Apartments,1663,permanent supportive housing,sheltered,"820 OFARRELL ST, SAN FRANCISCO, CA, 94109",CA-501
820,S BURLINGTON AVE,LOS ANGELES,CA,90057,820 S BURLINGTON AVE,PSH,Young Burlington Apartments,41995; 29112; 42713,permanent supportive housing,sheltered,"820 S BURLINGTON AVE, LOS ANGELES, CA, 90057",CA-600
821,MENDOCINO AVE,SANTA ROSA,CA,95401,821 MENDOCINO AVE,OPH,THP Plus Expansion,43554,OPH,sheltered,"821 MENDOCINO AVE, SANTA ROSA, CA, 95401",CA-504
821,TURK ST,SAN FRANCISCO,CA,94102,821 TURK ST,PSH,Parkview Hotel,4928,permanent supportive housing,sheltered,"821 TURK ST, SAN FRANCISCO, CA, 94102",CA-501
8224,S BROADWAY,LOS ANGELES,CA,90003,8224 S BROADWAY,ES,Family Crisis Housing Project SPA 3; Family Emergency Housing Program,7278; 28847,emergency shelter,unhoused,"8224 S BROADWAY, LOS ANGELES, CA, 90003",CA-600
823,COMMERCE,PORT TOWNSEND,WA,98368,823 COMMERCE,RRH,OCAHEN Housing Grant RRH; OCASSVF RRH; OCACHG Rent Assistance RRH; OCAYHDP RRH; OCACrossroads Permanent Solutions,5104,rapid rehousing,sheltered,"823 COMMERCE, PORT TOWNSEND, WA, 98368",WA-501
823,GATEWAY CENTER WAY,SAN DIEGO,CA,92102,823 GATEWAY CENTER WAY,ES,FHCSD - ES - Hotel Motel Vouchers CoC HEAP,44053,emergency shelter,unhoused,"823 GATEWAY CENTER WAY, SAN DIEGO, CA, 92102",CA-601
823,JEFFERSON ST,FAIRFIELD,CA,94533,823 JEFFERSON ST,PSH,(VA) HUD-VASH,43986,permanent supportive housing,sheltered,"823 JEFFERSON ST, FAIRFIELD, CA, 94533",CA-518
823,WALNUT AVE,KLAMATH FALLS,OR,97601,823 WALNUT AVE,TH; ES,KLCAS-HIC Wellness Center TH (7474) [ROCC]; KLCAS-HIC Klamath Basin Behavioral Health TH (7473) [ROCC]; KLCAS-HIC -Kla- -KFGM - ES (4558) [ROCC](; KLCAS-HIC - Gospel Mission - TH (7472)  [ROCC]; KLCAS-HIC Gospel Mission - ES (4558) [ROCC],32747,mixed support,sheltered,"823 WALNUT AVE, KLAMATH FALLS, OR, 97601",OR-505
824,4TH AVE,VENICE,CA,90291,824 4TH AVE,RRH; PSH,FSC Rapid Re-Housing; Housing for Health (PATH),5405,mixed support,sheltered,"824 4TH AVE, VENICE, CA, 90291",CA-600
825,7TH AVE,SAN DIEGO,CA,92101,825 7TH AVE,RRH; TH; ES,SA - TH - STEPS (5254); SA - ES - Door Of Hope Haven (6620); SA - RRH - Door of Hope (6747); SA - ES - CARS (5926); STEPS Solutions IV (5254); SDHC - TH - Door of Hope + Expansion - Salvation A; SDHC - RRH - Salvation Army City HEAP; SA - Joint TH - Door of Hope,6323; 9739,mixed support,sheltered,"825 7TH AVE, SAN DIEGO, CA, 92101",CA-601
825,COLORADO BLVD,LOS ANGELES,CA,90041,825 COLORADO BLVD,OPH; PSH,CHOISS SPA 3; HACLA Section 8 Homeless Program; HOPWA - CHOISS Program SSML; CA0356 CHOISS SPA2; HACLA Section 8 (Serra),28913; 32334; 41903,mixed support,sheltered,"825 COLORADO BLVD, LOS ANGELES, CA, 90041",CA-600
825,E COLORADO BLVD,PASADENA,CA,91101,825 E COLORADO BLVD,PSH,CHOISS-1,12446,permanent supportive housing,sheltered,"825 E COLORADO BLVD, PASADENA, CA, 91101",CA-607
825,E ORANGE GROVE BLVD,PASADENA,CA,91104,825 E ORANGE GROVE BLVD,PSH; RRH; ES,Family Center; HEAP PAS Motel Vouchers USHS; B3 PAS Adult Rapid Rehousing; USHS FSC Crisis Housing Vouchers (Motel Vouchers); DMH Union Station Bonus; DHS Union Station Bonus; USHS Housing For Health; USHS FSC Rapid Re-Housing,28993; 11055; 12444,mixed support,sheltered,"825 E ORANGE GROVE BLVD, PASADENA, CA, 91104",CA-607; CA-600
825,LA PLAYA ST,SAN FRANCISCO,CA,94121,825 LA PLAYA ST,PSH,LaPlaya Apartments,5443,permanent supportive housing,sheltered,"825 LA PLAYA ST, SAN FRANCISCO, CA, 94121",CA-501
825,NE HUNTLEY AVE,ROSEBURG,OR,97470,825 NE HUNTLEY AVE,RRH; PSH,UCAN-DC - HSP - RRH (3524) [ROCC]; UCAN - HSP - RRH (3524) [ROCC]; UCAN-DC - Grandview Homes - SHELTERPOINT (3474) [ROCC]; UCAN-DC - EHA - RRH (4840) [ROOC]; UCAN-DC - Grandview Homes PSH - SHELTERPOINT (3474) [ROCC],31229,mixed support,sheltered,"825 NE HUNTLEY AVE, ROSEBURG, OR, 97470",OR-505
825,ORANGE GROVE PL,SOUTH PASADENA,CA,91030,825 ORANGE GROVE PL,RRH,HJC USF,41959,rapid rehousing,sheltered,"825 ORANGE GROVE PL, SOUTH PASADENA, CA, 91030",CA-600
826,W CAPITOL AVE,WEST SACRAMENTO,CA,95691,826 W CAPITOL AVE,ES,Bridge to Housing,,emergency shelter,unhoused,"826 W CAPITOL AVE, WEST SACRAMENTO, CA, 95691",CA-521
827,C ST,SAN DIEGO,CA,92101,827 C ST,OPH,"Hotel Churchill (6755, 6756, & 6757)",11962,OPH,sheltered,"827 C ST, SAN DIEGO, CA, 92101",CA-601
827,W ALDER ST,WALLA WALLA,WA,99362,827 W ALDER ST,ES,SAREmergency Shelter (LSA); SAREmergency Shelter (PIT),30485,emergency shelter,unhoused,"827 W ALDER ST, WALLA WALLA, WA, 99362",WA-501
829,S CLEMENTINE ST,ANAHEIM,CA,92805,829 S CLEMENTINE ST,ES,Anaheim House,3464,emergency shelter,unhoused,"829 S CLEMENTINE ST, ANAHEIM, CA, 92805",CA-602
83,N KAUFFMAN ST,REPUBLIC,WA,99166,83 N KAUFFMAN ST,OPH,FHCHeather Hill Apts; FHCPine Bluff Senior (NP); FHCPine Bluff Special Needs (NP); FHCHeather Hill Apts (NP); Pine Bluff Senior (NP); Pine Bluff Special Needs (NP),41476,OPH,sheltered,"83 N KAUFFMAN ST, REPUBLIC, WA, 99166",WA-501
830,9TH AVE,SAN DIEGO,CA,92101,830 9TH AVE,TH; ES,Rachel's Night Shelter (5627); Rachel's Night Shelter WCP (6057); Rachel's Night Shelter (Other) (5627); Rachel's Night Shelter- Solutions (6058),8131; 984,mixed support,sheltered,"830 9TH AVE, SAN DIEGO, CA, 92101",CA-601
830,B ST,SAN RAFAEL,CA,94901,830 B ST,ES,HB Voyager Program; Voyager,3397,emergency shelter,unhoused,"830 B ST, SAN RAFAEL, CA, 94901",CA-507
830,N LEMON ST,ANAHEIM,CA,92805,830 N LEMON ST,TH; ES,Women's Bridge; Santa Ana ESG,8732,mixed support,sheltered,"830 N LEMON ST, ANAHEIM, CA, 92805",CA-602
830,S WESTLAKE AVE,LOS ANGELES,CA,90057,830 S WESTLAKE AVE,PSH,"Lamp, Inc. - Scattered Sites PRA",28693,permanent supportive housing,sheltered,"830 S WESTLAKE AVE, LOS ANGELES, CA, 90057",CA-600
830,UNION AVE SE,OLYMPIA,WA,98501,830 UNION AVE SE,ES,LHIPlum Street Village,42952,emergency shelter,unhoused,"830 UNION AVE SE, OLYMPIA, WA, 98501",WA-501
8300,S HOOVER ST,LOS ANGELES,CA,90044,8300 S HOOVER ST,PSH,CA0445 Norlin Lockwood,5701,permanent supportive housing,sheltered,"8300 S HOOVER ST, LOS ANGELES, CA, 90044",CA-600
8300,S VERMONT AVE,LOS ANGELES,CA,90044,8300 S VERMONT AVE,ES,Cal Works Homeless Assistance Program* - 83 SW Family; Cal Works Homeless Assistance Program 83 SW Family; Cal Works Homeless Assistance Program 83 SW Family (Vouchers),18705,emergency shelter,unhoused,"8300 S VERMONT AVE, LOS ANGELES, CA, 90044",CA-600
8300,SANTA MONICA BLVD,WEST HOLLYWOOD,CA,90069,8300 SANTA MONICA BLVD,PSH,CA0860 City of West Hollywood,29154,permanent supportive housing,sheltered,"8300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA, 90069",CA-600
831,E 85TH ST,LOS ANGELES,CA,90001,831 E 85TH ST,ES,DHS Interim Housing 85th,42717,emergency shelter,unhoused,"831 E 85TH ST, LOS ANGELES, CA, 90001",CA-600
831,E HOUSTON AVE,VISALIA,CA,93292,831 E HOUSTON AVE,TH,House of Hope,7483,transitional housing,sheltered,"831 E HOUSTON AVE, VISALIA, CA, 93292",CA-513
831,PAGET AVE,SANTA CRUZ,CA,95062,831 PAGET AVE,ES,HCHV/EH - Paget Center,13317,emergency shelter,unhoused,"831 PAGET AVE, SANTA CRUZ, CA, 95062",CA-508
8314,MACARTHUR BLVD,OAKLAND,CA,94605,8314 MACARTHUR BLVD,TH,Families in Transition (FIT); Matilda Cleveland Transitional THP,1680; 1354,transitional housing,sheltered,"8314 MACARTHUR BLVD, OAKLAND, CA, 94605",CA-502
8315,272ND ST NW,STANWOOD,WA,98292,8315 272ND ST NW,ES,HH-Stanwood House-Shelter,8932,emergency shelter,unhoused,"8315 272ND ST NW, STANWOOD, WA, 98292",WA-504
832,32ND AVE,SEATTLE,WA,98122,832 32ND AVE,ES,Julia's Place Shelter; Julia's Pace,31878,emergency shelter,unhoused,"832 32ND AVE, SEATTLE, WA, 98122",WA-500
832,6TH ST,BREMERTON,WA,98337,832 6TH ST,ES,Winter Shelter; SALWinter Emergency Shelter,38602,emergency shelter,unhoused,"832 6TH ST, BREMERTON, WA, 98337",WA-501
832,BURWELL ST,BREMERTON,WA,98337,832 BURWELL ST,ES,HCMYouth Shelter; Youth Shelter,40416,emergency shelter,unhoused,"832 BURWELL ST, BREMERTON, WA, 98337",WA-501
832,JAMES M WOOD BLVD,LOS ANGELES,CA,90015,832 JAMES M WOOD BLVD,ES,Zahn Emergency Shelter,9724,emergency shelter,unhoused,"832 JAMES M WOOD BLVD, LOS ANGELES, CA, 90015",CA-600
832,W JAMES M WOOD BLVD,LOS ANGELES,CA,90015,832 W JAMES M WOOD BLVD,PSH; ES,Zahn DMH Program; CA1685 CIS PSH; TSA FSC Zahn Memorial Center Bridge Housing; TSA FSC Zahn Memorial Center Crisis Housing; CA1684 CIS PSH Youth; DMH Interim Housing Zahn,9724,mixed support,sheltered,"832 W JAMES M WOOD BLVD, LOS ANGELES, CA, 90015",CA-600
8323,272ND ST NW,STANWOOD,WA,98292,8323 272ND ST NW,OPH; PSH; ES,Lervick Family Village Shelter; Lervick Family Village; Lervick Family Village (PSH),8932,mixed support,sheltered,"8323 272ND ST NW, STANWOOD, WA, 98292",WA-504
833,G ST,EUREKA,CA,95501,833 G ST,TH,Bridge House,9599,transitional housing,sheltered,"833 G ST, EUREKA, CA, 95501",CA-522
8340,NE BROADWAY ST,PORTLAND,OR,97220,8340 NE BROADWAY ST,PSH,Impact Northwest - B2H Broadway Vantage (2781),11471,permanent supportive housing,sheltered,"8340 NE BROADWAY ST, PORTLAND, OR, 97220",OR-501
835,OFARRELL ST,SAN FRANCISCO,CA,94109,835 OFARRELL ST,PSH,Iroquois Hotel,1826,permanent supportive housing,sheltered,"835 OFARRELL ST, SAN FRANCISCO, CA, 94109",CA-501
835,W MAPLE ST,COMPTON,CA,90220,835 W MAPLE ST,ES,Maple House,38247,emergency shelter,unhoused,"835 W MAPLE ST, COMPTON, CA, 90220",CA-600
8358,SE CAUSEY AVE,HAPPY VALLEY,OR,97086,8358 SE CAUSEY AVE,PSH,Chez Ami,1390,permanent supportive housing,sheltered,"8358 SE CAUSEY AVE, HAPPY VALLEY, OR, 97086",OR-507
836,FEDORA ST,LOS ANGELES,CA,90005,836 FEDORA ST,PSH,Fedora Apartments; CA0374 Fedora Apartments,359,permanent supportive housing,sheltered,"836 FEDORA ST, LOS ANGELES, CA, 90005",CA-600
8360,ETON AVE,CANOGA PARK,CA,91304,8360 ETON AVE,TH,The Bridge Transitional Recovery,23351,transitional housing,sheltered,"8360 ETON AVE, CANOGA PARK, CA, 91304",CA-600
837,7TH AVE SE,OLYMPIA,WA,98501,837 7TH AVE SE,ES,FSCFamily Support Shelter,11368,emergency shelter,unhoused,"837 7TH AVE SE, OLYMPIA, WA, 98501",WA-501
837,E ARROW HWY,POMONA,CA,91767,837 E ARROW HWY,ES; TH; PSH,DHS Interim Housing; Women's Center; Shelter Plus Care (City of Pomona Grant Holder); PROTOTYPES Transitional Housing Project; Permanent Housing Project for Disabled Women & Children; CA0435 S. Mark Taper Permanent Housing - Supportive Services; Women's Center - Shelter Plus Care - Tenant Based; S. Mark Taper Foundation Family Living Center PH; DHS Interim Housing Short Term,32600; 9568,mixed support,sheltered,"837 E ARROW HWY, POMONA, CA, 91767",CA-600
